src_ip,dst_ip,src_mac,dst_mac,protocol_name,src_port,dst_port,modbus_trans_id,modbus_func_code,up_pkt_count,down_pkt_count,up_payload_count,down_payload_count,duration,up_payload_mean,down_payload_mean,up_payload_min,down_payload_min,up_payload_max,down_payload_max,up_payload_std,down_payload_std,up_time_interval_mean,down_time_interval_mean,up_time_interval_min,down_time_interval_min,up_time_interval_max,down_time_interval_max,up_time_interval_std,down_time_interval_std
192.168.1.101,192.168.1.253,50:9a:4c:c1:b1:a7,50:fa:84:98:2c:c3,DNS,49711,53,0,0,2,0,98,0,4.038335,49.0,0,49,0,49,0,0.0,0,4.038335,0,4.038335,0,4.038335,0,0.000000,0
192.168.1.100,192.168.1.255,00:e8:4c:68:d3:c7,ff:ff:ff:ff:ff:ff,NBNS,137,137,0,0,29,0,1682,0,54.397090,58.0,0,58,0,58,0,0.0,0,1.942753214285714285714285714,0,0.063390,0,11.779585,0,3.266982924670705113422687683,0
192.168.1.101,192.168.1.253,50:9a:4c:c1:b1:a7,50:fa:84:98:2c:c3,ARP,0,0,0,0,4,0,0,0,23.007337,0.0,0,0,0,0,0,0.0,0,7.669112333333333333333333333,0,4.845999,0,10.995613,0,2.535677055248339168693391940,0
192.168.1.253,192.168.1.101,50:fa:84:98:2c:c3,50:9a:4c:c1:b1:a7,ARP,0,0,0,0,0,6,0,0,28.465098,0,0.0,0,0,0,0,0,0.0,0,5.6930196,0,1.221771,0,10.995660,0,3.259398009499152897216923836
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,59531,502,0,0,7,0,224,0,9.021392,32.0,0,32,0,32,0,0.0,0,1.503565333333333333333333333,0,1.372885,0,1.618672,0,0.07250203545341943631857853132,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,59532,502,0,0,7,0,224,0,9.020977,32.0,0,32,0,32,0,0.0,0,1.503496166666666666666666667,0,1.372866,0,1.618590,0,0.07247786046652836699308477338,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,59533,502,0,0,7,0,224,0,9.021183,32.0,0,32,0,32,0,0.0,0,1.5035305,0,1.372887,0,1.618823,0,0.07253150800801446639302215387,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,59534,502,0,0,7,0,224,0,9.020938,32.0,0,32,0,32,0,0.0,0,1.503489666666666666666666667,0,1.373060,0,1.618743,0,0.07245062757645527960663151221,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,59535,502,0,0,7,0,224,0,9.021028,32.0,0,32,0,32,0,0.0,0,1.503504666666666666666666667,0,1.373108,0,1.618720,0,0.07243212114494201084176017051,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,59536,502,0,0,7,0,224,0,9.020859,32.0,0,32,0,32,0,0.0,0,1.5034765,0,1.373137,0,1.618696,0,0.07240996544847953454242179993,0
