src_ip,dst_ip,src_mac,dst_mac,protocol_name,src_port,dst_port,modbus_trans_id,modbus_func_code,up_pkt_count,down_pkt_count,up_payload_count,down_payload_count,duration,up_payload_mean,down_payload_mean,up_payload_min,down_payload_min,up_payload_max,down_payload_max,up_payload_std,down_payload_std,up_time_interval_mean,down_time_interval_mean,up_time_interval_min,down_time_interval_min,up_time_interval_max,down_time_interval_max,up_time_interval_std,down_time_interval_std
192.168.1.100,192.168.1.255,00:e8:4c:68:d3:c7,ff:ff:ff:ff:ff:ff,NBNS,137,137,0,0,48,0,2784,0,71.197498,58.0,0,58,0,58,0,0.0,0,1.514840382978723404255319149,0,0.078184,0,8.346695,0,1.794761060204886499173450544,0
192.168.1.101,192.168.1.253,50:9a:4c:c1:b1:a7,50:fa:84:98:2c:c3,UDP,68,67,0,0,3,0,972,0,60.082266,324.0,0,324,0,324,0,0.0,0,30.041133,0,30.037425,0,30.044841,0,0.003708,0
192.168.1.253,192.168.1.101,50:fa:84:98:2c:c3,50:9a:4c:c1:b1:a7,UDP,67,68,0,0,0,3,0,1668,60.081762,0,556.0,0,556,0,556,0,0.0,0,30.040881,0,30.036887,0,30.044875,0,0.003994
192.168.1.101,239.255.255.250,50:9a:4c:c1:b1:a7,01:00:5e:7f:ff:fa,UDP,64251,1900,0,0,18,0,2610,0,75.138789,145.0,0,145,0,145,0,0.0,0,4.419928764705882352941176471,0,3.000423,0,14.999122,0,3.862856339724219111838064760,0
192.168.1.101,224.0.0.251,50:9a:4c:c1:b1:a7,01:00:5e:00:00:fb,DNS,5353,5353,0,0,33,0,2295,0,60.303572,69.5454545455,0,47,0,105,0,21.3045604864,0,1.884486625,0,0.000180,0,29.842700,0,7.216609705784248789396388303,0
192.168.1.101,224.0.0.252,50:9a:4c:c1:b1:a7,01:00:5e:00:00:fc,UDP,54404,5355,0,0,1,0,41,0,0.000000,41.0,0,41,0,41,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58838,502,0,0,2,0,52,0,0.001782,26.0,0,20,0,32,0,6.0,0,0.001782,0,0.001782,0,0.001782,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58839,502,0,0,2,0,52,0,0.003044,26.0,0,20,0,32,0,6.0,0,0.003044,0,0.003044,0,0.003044,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58840,502,0,0,2,0,52,0,0.008611,26.0,0,20,0,32,0,6.0,0,0.008611,0,0.008611,0,0.008611,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58841,502,0,0,2,0,52,0,0.024464,26.0,0,20,0,32,0,6.0,0,0.024464,0,0.024464,0,0.024464,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58842,502,0,0,2,0,52,0,0.032078,26.0,0,20,0,32,0,6.0,0,0.032078,0,0.032078,0,0.032078,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58843,502,0,0,2,0,52,0,0.040249,26.0,0,20,0,32,0,6.0,0,0.040249,0,0.040249,0,0.040249,0,0.000000,0
192.168.1.240,192.168.1.101,00:80:f4:0d:e6:50,50:9a:4c:c1:b1:a7,TCP,502,58838,0,0,0,7,0,182,0.453492,0,26.0,0,26,0,26,0,0.0,0,0.075582,0,0.002723,0,0.157936,0,0.05065268893158585317473969165
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58838,502,24598,56,1,0,283,0,0.000000,283.0,0,283,0,283,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58844,502,0,0,2,0,52,0,0.048272,26.0,0,20,0,32,0,6.0,0,0.048272,0,0.048272,0,0.048272,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58838,502,27623,42,1,0,283,0,0.000000,283.0,0,283,0,283,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58838,502,41570,83,1,0,60,0,0.000000,60.0,0,60,0,60,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58838,502,20800,17,1,0,28,0,0.000000,28.0,0,28,0,28,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58838,502,52746,205,1,0,60,0,0.000000,60.0,0,60,0,60,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58845,502,0,0,2,0,52,0,0.063867,26.0,0,20,0,32,0,6.0,0,0.063867,0,0.063867,0,0.063867,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58838,502,17527,92,1,0,283,0,0.000000,283.0,0,283,0,283,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58846,502,0,0,2,0,52,0,0.066709,26.0,0,20,0,32,0,6.0,0,0.066709,0,0.066709,0,0.066709,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58847,502,0,0,2,0,52,0,0.074893,26.0,0,20,0,32,0,6.0,0,0.074893,0,0.074893,0,0.074893,0,0.000000,0
192.168.1.240,192.168.1.101,00:80:f4:0d:e6:50,50:9a:4c:c1:b1:a7,TCP,502,58839,0,0,0,10,0,260,0.575003,0,26.0,0,26,0,26,0,0.0,0,0.06388922222222222222222222222,0,0.002582,0,0.234292,0,0.08272032606960473288159496348
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58839,502,53893,130,1,0,283,0,0.000000,283.0,0,283,0,283,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58848,502,0,0,2,0,52,0,0.082359,26.0,0,20,0,32,0,6.0,0,0.082359,0,0.082359,0,0.082359,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58839,502,11647,122,1,0,283,0,0.000000,283.0,0,283,0,283,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58839,502,6782,214,1,0,60,0,0.000000,60.0,0,60,0,60,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58839,502,38354,182,1,0,283,0,0.000000,283.0,0,283,0,283,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58839,502,50522,105,1,0,60,0,0.000000,60.0,0,60,0,60,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58849,502,0,0,2,0,52,0,0.090136,26.0,0,20,0,32,0,6.0,0,0.090136,0,0.090136,0,0.090136,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58839,502,2481,209,1,0,283,0,0.000000,283.0,0,283,0,283,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58850,502,0,0,2,0,52,0,0.097674,26.0,0,20,0,32,0,6.0,0,0.097674,0,0.097674,0,0.097674,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58851,502,0,0,2,0,52,0,0.104774,26.0,0,20,0,32,0,6.0,0,0.104774,0,0.104774,0,0.104774,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58852,502,0,0,2,0,52,0,0.111913,26.0,0,20,0,32,0,6.0,0,0.111913,0,0.111913,0,0.111913,0,0.000000,0
