src_ip,dst_ip,src_mac,dst_mac,protocol_name,src_port,dst_port,modbus_trans_id,modbus_func_code,up_pkt_count,down_pkt_count,up_payload_count,down_payload_count,duration,up_payload_mean,down_payload_mean,up_payload_min,down_payload_min,up_payload_max,down_payload_max,up_payload_std,down_payload_std,up_time_interval_mean,down_time_interval_mean,up_time_interval_min,down_time_interval_min,up_time_interval_max,down_time_interval_max,up_time_interval_std,down_time_interval_std
192.168.1.101,239.255.255.250,50:9a:4c:c1:b1:a7,01:00:5e:7f:ff:fa,UDP,64251,1900,0,0,9,0,1305,0,36.076179,145.0,0,145,0,145,0,0.0,0,4.509522375,0,3.005961,0,14.849462,0,3.908422312191037317842881143,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62062,502,0,0,5,0,540,0,7.474442,108.0,0,108,0,108,0,0.0,0,1.8686105,0,1.197536,0,2.868392,0,0.6309959651334943361976801723,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62063,502,0,0,6,0,648,0,7.474418,108.0,0,108,0,108,0,0.0,0,1.4948836,0,1.197460,0,1.914808,0,0.2354954041221186974525562795,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62064,502,0,0,5,0,540,0,7.474254,108.0,0,108,0,108,0,0.0,0,1.8685635,0,1.197459,0,2.868473,0,0.6310470133383486666511803771,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62065,502,0,0,5,0,540,0,6.276745,108.0,0,108,0,108,0,0.0,0,1.56918625,0,1.383484,0,1.914711,0,0.2041329116340319582225608784,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62066,502,0,0,5,0,540,0,7.474142,108.0,0,108,0,108,0,0.0,0,1.8685355,0,1.197393,0,2.868505,0,0.6310956620535035812028267173,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62067,502,0,0,5,0,540,0,7.474139,108.0,0,108,0,108,0,0.0,0,1.86853475,0,1.197433,0,2.868498,0,0.6310879366904326273821393308,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62068,502,0,0,4,0,432,0,6.276636,108.0,0,108,0,108,0,0.0,0,2.092212,0,1.493578,0,2.868386,0,0.5751316358979626384665223350,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62069,502,0,0,6,0,648,0,7.474196,108.0,0,108,0,108,0,0.0,0,1.4948392,0,1.197607,0,1.914725,0,0.2354469025376209955630753322,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62070,502,0,0,5,0,540,0,7.474057,108.0,0,108,0,108,0,0.0,0,1.86851425,0,1.197654,0,2.868368,0,0.6309740306503806500380094963,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62071,502,0,0,5,0,540,0,6.276459,108.0,0,108,0,108,0,0.0,0,1.56911475,0,1.383321,0,1.914549,0,0.2040967322476954798537561818,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62072,502,0,0,5,0,540,0,7.474155,108.0,0,108,0,108,0,0.0,0,1.86853875,0,1.197715,0,2.868242,0,0.6308908561397030582263527493,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62073,502,0,0,5,0,540,0,7.473976,108.0,0,108,0,108,0,0.0,0,1.868494,0,1.197579,0,2.868370,0,0.6309822709819191108458838786,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62074,502,0,0,5,0,540,0,7.473998,108.0,0,108,0,108,0,0.0,0,1.8684995,0,1.197576,0,2.868372,0,0.6309846131663988524014225224,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62075,502,0,0,4,0,432,0,6.276404,108.0,0,108,0,108,0,0.0,0,2.092134666666666666666666667,0,1.493597,0,2.868357,0,0.5751348508401215716480097092,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62076,502,0,0,5,0,540,0,6.276369,108.0,0,108,0,108,0,0.0,0,1.56909225,0,1.383395,0,1.914636,0,0.2041402246464118594828026345,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62077,502,0,0,6,0,648,0,7.473859,108.0,0,108,0,108,0,0.0,0,1.4947718,0,1.197401,0,1.914628,0,0.2354598847629039336016524753,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62078,502,0,0,5,0,540,0,7.473728,108.0,0,108,0,108,0,0.0,0,1.868432,0,1.197430,0,2.868503,0,0.6311137038422632762028560910,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62079,502,0,0,5,0,540,0,6.276258,108.0,0,108,0,108,0,0.0,0,1.5690645,0,1.383345,0,1.914518,0,0.2040961117617138731756431542,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62080,502,0,0,5,0,540,0,7.473668,108.0,0,108,0,108,0,0.0,0,1.868417,0,1.197419,0,2.868339,0,0.6310445830303909676371284128,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62081,502,0,0,5,0,540,0,7.473612,108.0,0,108,0,108,0,0.0,0,1.868403,0,1.197297,0,2.868468,0,0.6311224626809760445004345502,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62082,502,0,0,4,0,432,0,6.276245,108.0,0,108,0,108,0,0.0,0,2.092081666666666666666666667,0,1.493376,0,2.868453,0,0.5752582062670254124842966470,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62083,502,0,0,6,0,648,0,7.473480,108.0,0,108,0,108,0,0.0,0,1.494696,0,1.197286,0,1.914353,0,0.2353960188856217678577597780,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,UDP,62084,502,0,0,5,0,540,0,7.473517,108.0,0,108,0,108,0,0.0,0,1.86837925,0,1.197302,0,2.868469,0,0.6311305291500225787504990318,0
